column_name,meaning,unit,source_file,related_panel,notes
relative_path,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
absolute_path,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
file_name,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
extension,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
size_bytes,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
role_in_project,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
row_count,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
column_count,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
columns,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Table01,candidate data column
split,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Table01,candidate data column
start_time,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Table01,candidate data column
end_time,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Table01,candidate data column
time_steps,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Table01,candidate data column
rows,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Table01,candidate data column
points,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Table01,candidate data column
freq_label,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
freq_alias,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
rows,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
nodes,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
time_steps,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
start_time,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
end_time,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
observed_slots,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
total_slots,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
coverage_pct,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
missing_pct,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
mean_reliability,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
median_reliability,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
mean_tti_observed,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
median_tti_observed,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
tti_gt_1_05_pct_observed,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
tti_gt_1_20_pct_observed,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Table01,candidate data column
phase,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
model,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
seed,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
train_n,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
val_n,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
test_n,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
node_count,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
feature_set,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
MAE,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
RMSE,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
MAPE,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
sMAPE,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
R2,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
fit_time_sec,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
inference_time_sec,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
config_hash,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
data_hash,See source file/context; GPT should infer/verify before plotting.,,phase13_strong_baseline_metrics.csv,Table01,candidate data column
