column_name,meaning,unit,source_file,related_panel,notes
section,See source file/context; GPT should infer/verify before plotting.,,Table04_ablation_robustness_stratified_summary.csv,Table04,candidate data column
condition,See source file/context; GPT should infer/verify before plotting.,,Table04_ablation_robustness_stratified_summary.csv,Table04,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,Table04_ablation_robustness_stratified_summary.csv,Table04,candidate data column
metric_mean,See source file/context; GPT should infer/verify before plotting.,,Table04_ablation_robustness_stratified_summary.csv,Table04,candidate data column
metric_std,See source file/context; GPT should infer/verify before plotting.,,Table04_ablation_robustness_stratified_summary.csv,Table04,candidate data column
relative_change_percent,See source file/context; GPT should infer/verify before plotting.,,Table04_ablation_robustness_stratified_summary.csv,Table04,candidate data column
statistical_support,See source file/context; GPT should infer/verify before plotting.,,Table04_ablation_robustness_stratified_summary.csv,Table04,candidate data column
interpretation,See source file/context; GPT should infer/verify before plotting.,,Table04_ablation_robustness_stratified_summary.csv,Table04,candidate data column
phase,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
main_model,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
feature_group,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
seed,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
train_n,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
val_n,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
test_n,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
node_count,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
MAE,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
RMSE,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
MAPE,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
sMAPE,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
R2,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
relative_MAE_change_from_speed_only_percent,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
fit_time_sec,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
inference_time_sec,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
config_hash,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
data_hash,See source file/context; GPT should infer/verify before plotting.,,phase15_feature_ablation_metrics.csv,Table04,candidate data column
experiment,See source file/context; GPT should infer/verify before plotting.,,phase16_degradation_summary.csv,Table04,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase16_degradation_summary.csv,Table04,candidate data column
max_observed_MAE_degradation_percent,See source file/context; GPT should infer/verify before plotting.,,phase16_degradation_summary.csv,Table04,candidate data column
level_at_max_degradation,See source file/context; GPT should infer/verify before plotting.,,phase16_degradation_summary.csv,Table04,candidate data column
mean_degradation_percent,See source file/context; GPT should infer/verify before plotting.,,phase16_degradation_summary.csv,Table04,candidate data column
std_degradation_percent,See source file/context; GPT should infer/verify before plotting.,,phase16_degradation_summary.csv,Table04,candidate data column
stratification_type,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
stratum,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
test_n_mean,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
MAE_mean,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
MAE_std,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
RMSE_mean,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
relative_MAE_vs_best_stratum_percent_mean,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
seeds,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Table04,candidate data column
