column_name,meaning,unit,source_file,related_panel,notes
phase,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
experiment_name,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
status,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
main_scope,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
key_outputs,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
main_conclusion,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
usable_for_paper,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
phase_order,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
short_label,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
figure_group,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
include_in_main_workflow,See source file/context; GPT should infer/verify before plotting.,,Fig01_workflow_data.csv,Fig01,candidate data column
relative_path,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
absolute_path,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
file_name,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
extension,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
size_bytes,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
role_in_project,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
row_count,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
column_count,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
columns,See source file/context; GPT should infer/verify before plotting.,,data_inventory.csv,Fig01,candidate data column
split,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Fig01,candidate data column
start_time,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Fig01,candidate data column
end_time,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Fig01,candidate data column
time_steps,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Fig01,candidate data column
rows,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Fig01,candidate data column
points,See source file/context; GPT should infer/verify before plotting.,,train_val_test_split_summary.csv,Fig01,candidate data column
freq_label,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
freq_alias,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
rows,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
nodes,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
time_steps,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
start_time,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
end_time,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
observed_slots,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
total_slots,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
coverage_pct,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
missing_pct,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
mean_reliability,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
median_reliability,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
mean_tti_observed,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
median_tti_observed,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
tti_gt_1_05_pct_observed,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
tti_gt_1_20_pct_observed,See source file/context; GPT should infer/verify before plotting.,,coverage_by_granularity.csv,Fig01,candidate data column
