column_name,meaning,unit,source_file,related_panel,notes
stratification_type,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
stratum,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
test_n_mean,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
MAE_mean,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
MAE_std,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
RMSE_mean,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
relative_MAE_vs_best_stratum_percent_mean,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
seeds,See source file/context; GPT should infer/verify before plotting.,,phase17_combined_stratified_summary.csv,Fig05,candidate data column
phase,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
stratification_type,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
stratum,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
seed,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
test_n,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
MAE,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
RMSE,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
MAPE,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
sMAPE,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
R2,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
relative_MAE_vs_best_stratum_percent,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
threshold_method,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
threshold_values,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
warning,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
error_rank,See source file/context; GPT should infer/verify before plotting.,,Fig05_stratified_error.csv,Fig05,candidate data column
phase_source,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
stratification_type,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
horizon,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
strata_compared,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
n_groups,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
total_n,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
test_name,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
statistic,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
p_value,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
p_value_corrected,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
effect_size,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
effect_size_type,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
significance_label,See source file/context; GPT should infer/verify before plotting.,,phase14_stratified_statistical_tests.csv,Fig05,candidate data column
